No.,State,District,Date,Flood Cause,Main River Basin,latitude,longitude,geocode_status
73,Selangor,Gombak,24/04/2025,"Hujan Lebat / Berterusan, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Klang (Kg. Sungai Chinchin); Sungai Klang (Kg. Sg. Salak),3.2556281,101.6538447,success
74,Sarawak,Miri,24/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Baram (Long Pueh),4.4179767,114.0155348,success
75,Selangor,Kuala Langat,23/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Klang (Apartment KOI Prima Jalan Taman Mas),2.8038283,101.4950699,success
76,Selangor,Hulu Langat,23/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan","Sungai Langat (Kampung Jambu, Kajang)",3.1132958,101.8159546,success
77,Selangor,Gombak,23/04/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Klang (BATUTP0007 - Kg. Sg. Kertas),3.2556281,101.6538447,success
78,Selangor,Kuala Selangor,23/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",-,3.3392354,101.2497808,success
79,Selangor,Petaling,23/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Klang (Kg. Tengah); Sungai Klang (Kg. Sri Langkas); Sungai Klang (KLNGTP0061 - Kg. Aman Bestari); Sungai Klang (Kg. Seri Aman); Sungai Klang (Kg. Kuala Sungai Baru); Sungai Klang (KLNGTP0063 - Kg. Bukit Lanchong); Sungai Klang (Kg. Kebun Bunga); Sungai Klang (Tol Bukit Jelutong); Sungai Klang (KYARTP0002 - Kg. Cempaka (Sg. Kayu Ara)),3.1844294,101.5364186,success
80,Selangor,Sepang,23/04/2025,"Hujan Lebat / Berterusan, Pembangunan / Pembukaan Tanah / Sampah Sarap","Sungai Klang (LGATTP0055 - Kg. Pulau Meranti); Sungai Langat (Kampung Sungai Merab (Jalan Salam, Surau Umummiyah)",2.8059607,101.7352881,success
81,Sarawak,Bintulu,22/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Kemena (KMNATP0027 - SK Bukit Balai Tubau); Batang Kemena (Pekan Tubau); Batang Kemena (Rumah Jeffery Sulau); Batang Kemena (Rumah Jaya Paran),3.1738542,113.0428485,success
82,Sarawak,Belaga,22/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Uma Kulit Sungai Asap),2.7050035,113.7822214,success
